DATE,MDBALT5POP
1/1/1970,905.787
1/1/1971,908.1
1/1/1972,899.8
1/1/1973,890.6
1/1/1974,887.5
1/1/1975,860.7
1/1/1976,837.6
1/1/1977,829.8
1/1/1978,815.8
1/1/1979,807.8
1/1/1980,786.741
1/1/1981,782.919
1/1/1982,775.792
1/1/1983,770.43
1/1/1984,767.536
1/1/1985,761.601
1/1/1986,761.416
1/1/1987,751.327
1/1/1988,748.284
1/1/1989,740.697
1/1/1990,735.632
1/1/1991,735.835
1/1/1992,731.227
1/1/1993,723.802
1/1/1994,713.248
1/1/1995,701.685
1/1/1996,688.542
1/1/1997,677.342
1/1/1998,667.479
1/1/1999,657.441
1/1/2000,648.746
1/1/2001,645.253
1/1/2002,642.514
1/1/2003,642.324
1/1/2004,641.004
1/1/2005,640.064
1/1/2006,640.961
1/1/2007,640.15
1/1/2008,637.901
1/1/2009,636.128
1/1/2010,621.18
1/1/2011,620.792
1/1/2012,622.705
1/1/2013,623.215
1/1/2014,623.711
1/1/2015,621.849
