DATE,MDBALT5URN
1/1/1990,7.6
2/1/1990,7.1
3/1/1990,6.5
4/1/1990,6.5
5/1/1990,7
6/1/1990,7.7
7/1/1990,7.8
8/1/1990,8.2
9/1/1990,8.3
10/1/1990,8.3
11/1/1990,8.7
12/1/1990,8.6
1/1/1991,9.9
2/1/1991,10.4
3/1/1991,10.1
4/1/1991,9.5
5/1/1991,10.4
6/1/1991,10.8
7/1/1991,10.4
8/1/1991,10.3
9/1/1991,10.3
10/1/1991,10.3
11/1/1991,10.3
12/1/1991,10.2
1/1/1992,11.4
2/1/1992,11.6
3/1/1992,11.2
4/1/1992,11
5/1/1992,11.2
6/1/1992,12.2
7/1/1992,11.6
8/1/1992,11.3
9/1/1992,11.1
10/1/1992,10.5
11/1/1992,10.5
12/1/1992,10
1/1/1993,10.5
2/1/1993,10.4
3/1/1993,10.2
4/1/1993,10.2
5/1/1993,10.7
6/1/1993,11.5
7/1/1993,10.8
8/1/1993,10.6
9/1/1993,10.5
10/1/1993,10.3
11/1/1993,9.8
12/1/1993,9.1
1/1/1994,10.1
2/1/1994,9.8
3/1/1994,9.5
4/1/1994,9.4
5/1/1994,9.5
6/1/1994,10
7/1/1994,9.3
8/1/1994,9.2
9/1/1994,8.9
10/1/1994,8.1
11/1/1994,7.9
12/1/1994,7.4
1/1/1995,8.5
2/1/1995,7.8
3/1/1995,7.8
4/1/1995,8
5/1/1995,8.2
6/1/1995,8.6
7/1/1995,8.7
8/1/1995,8.5
9/1/1995,8.6
10/1/1995,9.4
11/1/1995,8.3
12/1/1995,7.7
1/1/1996,8.8
2/1/1996,8.5
3/1/1996,8.5
4/1/1996,8.3
5/1/1996,8.7
6/1/1996,9.1
7/1/1996,9.2
8/1/1996,8.4
9/1/1996,8.4
10/1/1996,8.2
11/1/1996,8.4
12/1/1996,7.8
1/1/1997,9.2
2/1/1997,9
3/1/1997,9.2
4/1/1997,8.7
5/1/1997,9.1
6/1/1997,10
7/1/1997,9.5
8/1/1997,9.5
9/1/1997,11.6
10/1/1997,9.2
11/1/1997,8.8
12/1/1997,8.4
1/1/1998,11.1
2/1/1998,9
3/1/1998,9.1
4/1/1998,8.3
5/1/1998,8.7
6/1/1998,9.5
7/1/1998,10.4
8/1/1998,9.7
9/1/1998,8.4
10/1/1998,8.3
11/1/1998,7.7
12/1/1998,7
1/1/1999,7.8
2/1/1999,7.9
3/1/1999,7.3
4/1/1999,7.3
5/1/1999,7.5
6/1/1999,8.2
7/1/1999,7.8
8/1/1999,7.5
9/1/1999,7.2
10/1/1999,6.9
11/1/1999,6.7
